GFSDidot-Regular,P
AlegreyaSans-MediumItalic,P
-0.3267720639705658,-0.5230351090431213
0.09351036697626114,-0.5270962119102478
0.21811072528362274,-0.504616916179657
0.29003670811653137,-0.4646078944206238
0.34450194239616394,-0.4034915268421173
0.3804135322570801,-0.3181399703025818
0.38707026839256287,-0.20981591939926147
0.3664935529232025,-0.09373954683542252
0.3263359069824219,-0.0029424121603369713
0.2656032145023346,0.05698513239622116
0.18022692203521729,0.09513214975595474
0.07531463354825974,0.1121465340256691
-0.04975145310163498,0.11638134717941284
-0.1613173931837082,0.11246442049741745
-0.21876265108585358,0.11232234537601471
-0.22731812298297882,0.1779901087284088
-0.23154476284980774,0.37844738364219666
-0.23607726395130157,0.5549858808517456
-0.2983820140361786,0.5958983898162842
-0.3758653700351715,0.6120297908782959
-0.3076133728027344,0.5881620049476624
-0.1524738073348999,0.5900734663009644
-0.07120350748300552,0.6085623502731323
-0.16685330867767334,0.5923001766204834
-0.23059378564357758,0.5702947974205017
-0.22857406735420227,0.4185905158519745
-0.22438865900039673,-0.09824670851230621
-0.21155783534049988,-0.4497086703777313
-0.22988204658031464,-0.5042406916618347
-0.31563928723335266,-0.5232594013214111
