GFSDidot-Regular,P
AlegreyaSans-MediumItalic,P
-0.36390429735183716,-0.5377642512321472
0.0919332355260849,-0.5394583940505981
0.21835100650787354,-0.5159374475479126
0.29181909561157227,-0.4741251766681671
0.3472331464290619,-0.41158750653266907
0.3836202025413513,-0.32555121183395386
0.39037659764289856,-0.21719826757907867
0.37014299631118774,-0.10199976712465286
0.3300822377204895,-0.012085560709238052
0.2684228718280792,0.04778489097952843
0.18146878480911255,0.08596986532211304
0.07419287413358688,0.10255271196365356
-0.054078780114650726,0.10595908761024475
-0.16814586520195007,0.10185946524143219
-0.22457264363765717,0.10349542647600174
-0.2303488850593567,0.18160676956176758
-0.23110447824001312,0.40345895290374756
-0.2306053787469864,0.564873993396759
-0.3188032805919647,0.5975204706192017
-0.3916465640068054,0.6163631677627563
-0.30404093861579895,0.5869816541671753
-0.13840818405151367,0.5939105153083801
-0.04848974943161011,0.6143530607223511
-0.14760664105415344,0.5971473455429077
-0.22726300358772278,0.5773738622665405
-0.22968488931655884,0.4412136971950531
-0.23033027350902557,-0.09166932106018066
-0.22337564826011658,-0.4665052890777588
-0.24547845125198364,-0.51917564868927
-0.34344372153282166,-0.5390722751617432
