SourceSans3-Italic[wght],N
BaiJamjuree-Italic,N
0.48516952991485596,-0.5078562498092651
0.2693767249584198,0.5930100679397583
0.20582759380340576,0.5369133949279785
-0.1221453920006752,-0.34601300954818726
-0.18752728402614594,-0.4800005555152893
-0.19922980666160583,-0.4826992154121399
-0.22324910759925842,-0.43418562412261963
-0.2601903975009918,-0.3084575831890106
-0.30599114298820496,-0.06177500635385513
-0.35935142636299133,0.25208792090415955
-0.39929014444351196,0.477347195148468
-0.4263491928577423,0.5806198120117188
-0.44525420665740967,0.6093322038650513
-0.441488116979599,0.6071269512176514
-0.43127286434173584,0.5939780473709106
-0.42512065172195435,0.5811173319816589
-0.42268210649490356,0.5715823769569397
-0.4218060076236725,0.5650273561477661
-0.42144080996513367,0.5607414245605469
-0.42127880454063416,0.5580849647521973
-0.4212288558483124,0.5564917325973511
-0.4212415814399719,0.5555166006088257
-0.42127934098243713,0.55485600233078
-0.42131587862968445,0.5543269515037537
-0.4213349223136902,0.5538299083709717
-0.4213276207447052,0.5533146858215332
-0.42128926515579224,0.5527575612068176
-0.4212176203727722,0.5521467924118042
-0.4211116135120392,0.5514754056930542
-0.42097100615501404,0.5507378578186035
