SourceSans3-Italic[wght],N
BaiJamjuree-Italic,N
0.5360874533653259,-0.5474397540092468
0.33567237854003906,0.5620249509811401
0.262957364320755,0.4864831566810608
-0.16834628582000732,-0.37149158120155334
-0.2560473680496216,-0.5053467154502869
-0.2596636116504669,-0.5127063989639282
-0.2778335213661194,-0.4714307487010956
-0.31082338094711304,-0.3672407269477844
-0.34958669543266296,-0.15886585414409637
-0.39657244086265564,0.1420232355594635
-0.43741917610168457,0.39100608229637146
-0.46271079778671265,0.5300034880638123
-0.48028281331062317,0.5786737203598022
-0.4817838966846466,0.5847465991973877
-0.47450682520866394,0.5742679834365845
-0.46911147236824036,0.5615097284317017
-0.46695032715797424,0.5519813299179077
-0.46647879481315613,0.5462077856063843
-0.46664145588874817,0.5433459281921387
-0.46701669692993164,0.5423629283905029
-0.4674425423145294,0.5424022674560547
-0.4678516089916229,0.542894721031189
-0.46821802854537964,0.5435253977775574
-0.4685368537902832,0.5441474318504333
-0.46881160140037537,0.5447049140930176
-0.46904775500297546,0.5451841354370117
-0.4692500829696655,0.545586347579956
-0.4694221317768097,0.5459169149398804
-0.46956631541252136,0.5461808443069458
-0.4696846306324005,0.546381950378418
