SourceSans3-Italic[wght],N
BaiJamjuree-Italic,N
0.5159701108932495,-0.5323911905288696
0.30694499611854553,0.5762456059455872
0.24049195647239685,0.5090013742446899
-0.14889144897460938,-0.3624879717826843
-0.22540386021137238,-0.4940006136894226
-0.23197026550769806,-0.4997670352458954
-0.25292518734931946,-0.45587342977523804
-0.28786778450012207,-0.3430779278278351
-0.32986146211624146,-0.11850746721029282
-0.38014864921569824,0.18962308764457703
-0.4212286174297333,0.43001365661621094
-0.44722384214401245,0.5536719560623169
-0.4655774235725403,0.5925644040107727
-0.4649684429168701,0.5945088863372803
-0.45630237460136414,0.5826120376586914
-0.45049694180488586,0.5697678327560425
-0.44820407032966614,0.5602738857269287
-0.44757458567619324,0.5542107820510864
-0.4475299119949341,0.5507711172103882
-0.4476902186870575,0.5490900278091431
-0.44792354106903076,0.548440158367157
-0.4481712579727173,0.5483099222183228
-0.44840356707572937,0.5483921766281128
-0.4486071765422821,0.5485266447067261
-0.44877785444259644,0.548640251159668
-0.4489154517650604,0.5487048625946045
-0.44902104139328003,0.5487119555473328
-0.44909602403640747,0.5486606359481812
-0.44914162158966064,0.5485516786575317
-0.44915905594825745,0.5483860969543457
