SourceSans3-Italic[wght],N
BaiJamjuree-Italic,N
0.5103315114974976,-0.5280538201332092
0.29956191778182983,0.5796277523040771
0.2341574728488922,0.5146011710166931
-0.1437399834394455,-0.35970887541770935
-0.21772783994674683,-0.4911371171474457
-0.225235715508461,-0.496389776468277
-0.24685746431350708,-0.4517039954662323
-0.28225037455558777,-0.33652839064598083
-0.32503974437713623,-0.10768943279981613
-0.3760538399219513,0.2019089013338089
-0.4170307517051697,0.43965575098991394
-0.4432041049003601,0.5592868328094482
-0.46170637011528015,0.5959464311599731
-0.4605100452899933,0.5969767570495605
-0.45152023434638977,0.5847907662391663
-0.44563326239585876,0.5719428062438965
-0.44331079721450806,0.5624513030052185
-0.4426371455192566,0.5563024282455444
-0.4425346255302429,0.552704930305481
-0.44263631105422974,0.5508387088775635
-0.44281795620918274,0.5500088930130005
-0.443022757768631,0.5497171878814697
-0.44321969151496887,0.549657940864563
-0.4433930814266205,0.5496666431427002
-0.4435364007949829,0.5496654510498047
-0.44364795088768005,0.5496220588684082
-0.4437278211116791,0.5495254993438721
-0.44377678632736206,0.5493727922439575
-0.443795770406723,0.5491635799407959
-0.44378572702407837,0.5488978028297424
