SairaExtraCondensed-Bold,Z
Schoolbell-Regular,Z
0.3379429876804352,0.5027259588241577
-0.31257063150405884,0.5070799589157104
-0.26122668385505676,0.3268536627292633
0.07862136512994766,-0.07323035597801208
0.30173352360725403,-0.40295204520225525
0.33082863688468933,-0.5186848640441895
0.3021390438079834,-0.5301311016082764
0.2735555171966553,-0.5359609127044678
0.22695693373680115,-0.5418515801429749
0.15601226687431335,-0.5443276166915894
0.06777983903884888,-0.5446415543556213
-0.021801689639687538,-0.5443902611732483
-0.0957120731472969,-0.5441144704818726
-0.14838868379592896,-0.543583869934082
-0.18430545926094055,-0.5427151918411255
-0.20955798029899597,-0.5416844487190247
-0.22820281982421875,-0.5406814813613892
-0.24241948127746582,-0.5397925972938538
-0.2534117102622986,-0.5390042066574097
-0.2619915306568146,-0.5382641553878784
-0.268811970949173,-0.5375841856002808
-0.27425017952919006,-0.5370507836341858
-0.27837133407592773,-0.5367023944854736
-0.2812727987766266,-0.5364907383918762
-0.28318357467651367,-0.5363459587097168
-0.28432944416999817,-0.5362182259559631
-0.2848743200302124,-0.5360774397850037
-0.2849360406398773,-0.5359053015708923
-0.2846066653728485,-0.5356898307800293
-0.28396233916282654,-0.5354222059249878
