SairaExtraCondensed-Bold,Z
Schoolbell-Regular,Z
0.28825700283050537,0.5232748985290527
-0.2537151277065277,0.5244617462158203
-0.22068950533866882,0.35614290833473206
0.04318568855524063,-0.03911091387271881
0.2404744029045105,-0.3701587915420532
0.2702317237854004,-0.49385425448417664
0.2475709170103073,-0.5088585615158081
0.23003257811069489,-0.5148748755455017
0.19984081387519836,-0.520759105682373
0.15129144489765167,-0.5234158039093018
0.08855625241994858,-0.5241106152534485
0.020286623388528824,-0.5242977738380432
-0.04303713142871857,-0.5245838761329651
-0.09401741623878479,-0.5249017477035522
-0.13161450624465942,-0.5250793695449829
-0.15869367122650146,-0.5251145958900452
-0.17857734858989716,-0.5250962376594543
-0.19364547729492188,-0.5250862836837769
-0.2053510546684265,-0.5250802636146545
-0.214596688747406,-0.5250258445739746
-0.222042977809906,-0.5248963236808777
-0.22816722095012665,-0.5247661471366882
-0.2331048995256424,-0.5247433185577393
-0.23682302236557007,-0.52485191822052
-0.23943418264389038,-0.5250429511070251
-0.24115556478500366,-0.5252626538276672
-0.24217578768730164,-0.5254786610603333
-0.24262748658657074,-0.5256741046905518
-0.2426086813211441,-0.525840163230896
-0.24219828844070435,-0.5259718298912048
