SairaExtraCondensed-Bold,Z
Schoolbell-Regular,Z
0.26895660161972046,0.5279971957206726
-0.2386924922466278,0.5284348130226135
-0.20872409641742706,0.36306172609329224
0.03492666035890579,-0.029703950509428978
0.22273759543895721,-0.36042922735214233
0.25269874930381775,-0.48611828684806824
0.23236118257045746,-0.5023407340049744
0.2184303104877472,-0.5084638595581055
0.1937830150127411,-0.5142477750778198
0.15219777822494507,-0.5168557167053223
0.09680294245481491,-0.5175794363021851
0.034795138984918594,-0.5178322196006775
-0.024894151836633682,-0.5182223320007324
-0.07489481568336487,-0.5187250375747681
-0.11286701261997223,-0.5191562175750732
-0.1405852884054184,-0.5194653272628784
-0.16097235679626465,-0.5197075605392456
-0.1763923019170761,-0.5199356079101562
-0.18836666643619537,-0.5201494097709656
-0.19783562421798706,-0.5203004479408264
-0.20545721054077148,-0.5203427076339722
-0.2117428183555603,-0.5203189849853516
-0.2169201523065567,-0.5203480124473572
-0.22094489634037018,-0.520496129989624
-0.22384455800056458,-0.52073734998703
-0.2258037030696869,-0.5210166573524475
-0.22702142596244812,-0.5212951302528381
-0.22764378786087036,-0.5215529203414917
-0.22777490317821503,-0.5217806696891785
-0.2274962216615677,-0.5219738483428955
