SairaExtraCondensed-Bold,Z
Schoolbell-Regular,Z
0.31786608695983887,0.5129818320274353
-0.2837388217449188,0.5157130360603333
-0.24245481193065643,0.341600626707077
0.060737933963537216,-0.05705101788043976
0.27311816811561584,-0.3877619206905365
0.3023337423801422,-0.5074126720428467
0.27603986859321594,-0.5204513669013977
0.2522644102573395,-0.526380717754364
0.21282030642032623,-0.5323450565338135
0.15214195847511292,-0.5349574685096741
0.07598745822906494,-0.5354852676391602
-0.0036247922107577324,-0.5354648232460022
-0.07295310497283936,-0.535480260848999
-0.12517149746418,-0.5353823304176331
-0.16197627782821655,-0.5350368618965149
-0.18804319202899933,-0.5345331430435181
-0.207197904586792,-0.5340154767036438
-0.22176027297973633,-0.5335596799850464
-0.23305563628673553,-0.5331555604934692
-0.24193449318408966,-0.5327508449554443
-0.24905399978160858,-0.5323477983474731
-0.2548200786113739,-0.5320388674736023
-0.25929829478263855,-0.5318914651870728
-0.262533038854599,-0.5318803191184998
-0.26472339034080505,-0.5319414734840393
-0.26609739661216736,-0.5320253372192383
-0.26682618260383606,-0.5321033000946045
-0.2670307457447052,-0.5321588516235352
-0.26680436730384827,-0.5321817398071289
-0.266223669052124,-0.5321651697158813
