SairaExtraCondensed-Bold,Z
Schoolbell-Regular,Z
0.24716441333293915,0.5323233604431152
-0.22395384311676025,0.5320334434509277
-0.19623160362243652,0.3698582053184509
0.027013955637812614,-0.019909033551812172
0.20411275327205658,-0.3499000370502472
0.2341480702161789,-0.47762060165405273
0.21638759970664978,-0.4953421950340271
0.20622101426124573,-0.501714289188385
0.18771892786026,-0.5074057579040527
0.1539030224084854,-0.5098974108695984
0.10650460422039032,-0.5105695724487305
0.05133333057165146,-0.5108261108398438
-0.004142022226005793,-0.5112718939781189
-0.05283285677433014,-0.5119231939315796
-0.09119607508182526,-0.5125906467437744
-0.11973725259304047,-0.5131723284721375
-0.1408109813928604,-0.5136818885803223
-0.1567092388868332,-0.5141587853431702
-0.16903044283390045,-0.5146081447601318
-0.17877371609210968,-0.5149902701377869
-0.1866004765033722,-0.5152465105056763
-0.1930307149887085,-0.5153716802597046
-0.19841013848781586,-0.5154646039009094
-0.20276640355587006,-0.515637993812561
-0.20603130757808685,-0.515914261341095
-0.20830278098583221,-0.5162481069564819
-0.20977500081062317,-0.5165916681289673
-0.21061453223228455,-0.51691734790802
-0.21093858778476715,-0.5172122716903687
-0.2108340561389923,-0.5174713730812073
