SairaExtraCondensed-Bold,Z
Schoolbell-Regular,Z
0.3288322389125824,0.5077632069587708
-0.2983255982398987,0.5113002061843872
-0.25219112634658813,0.33417370915412903
0.06974300742149353,-0.06542356312274933
0.2879367470741272,-0.3956758975982666
0.3169991374015808,-0.5133241415023804
0.2893776595592499,-0.5255259871482849
0.2630312144756317,-0.5314108729362488
0.219781294465065,-0.5373529195785522
0.15376296639442444,-0.5399032831192017
0.071405790746212,-0.540325403213501
-0.01336576882749796,-0.5401886701583862
-0.0851547122001648,-0.540057897567749
-0.13768896460533142,-0.5397436618804932
-0.17405948042869568,-0.539135754108429
-0.199698805809021,-0.538367509841919
-0.21857713162899017,-0.5376070737838745
-0.23295150697231293,-0.5369362235069275
-0.2440851479768753,-0.5363425612449646
-0.25280749797821045,-0.5357741713523865
-0.2597728371620178,-0.5352396965026855
-0.2653675377368927,-0.53482985496521
-0.26965317130088806,-0.5345953702926636
-0.27270495891571045,-0.5344979166984558
-0.2747407853603363,-0.5344700813293457
-0.2759874761104584,-0.534462571144104
-0.27661168575286865,-0.5344464778900146
-0.27673235535621643,-0.534404456615448
-0.2764418125152588,-0.5343254208564758
-0.2758161723613739,-0.5342015027999878
