Halant-Light,D
LindenHill-Italic,D
-0.39493894577026367,-0.5096389055252075
-0.0029262369498610497,-0.5000751614570618
0.0928310975432396,-0.4831928014755249
0.16421125829219818,-0.45911282300949097
0.2227380871772766,-0.4313913881778717
0.2732977271080017,-0.39408889412879944
0.32070526480674744,-0.34292730689048767
0.3657083511352539,-0.27468574047088623
0.40541672706604004,-0.19213323295116425
0.4314204156398773,-0.10164503008127213
0.43788450956344604,-0.00014796853065490723
0.42995893955230713,0.09824199974536896
0.41256213188171387,0.18745675683021545
0.3836309611797333,0.27485936880111694
0.3384452760219574,0.35736438632011414
0.2737697660923004,0.4326387643814087
0.1878797709941864,0.4919232130050659
0.08308998495340347,0.5251086354255676
-0.03574874997138977,0.5450055599212646
-0.16911740601062775,0.5545480251312256
-0.28607410192489624,0.5451803207397461
-0.3672567307949066,0.5438244342803955
-0.40162962675094604,0.5608081221580505
-0.35383233428001404,0.5466769933700562
-0.32043150067329407,0.46487265825271606
-0.31637582182884216,0.23247011005878448
-0.3185898959636688,-0.13045749068260193
-0.3156088888645172,-0.38809967041015625
-0.310895711183548,-0.46859797835350037
-0.3227144777774811,-0.4969633221626282
