Halant-Light,D
LindenHill-Italic,D
-0.40719249844551086,-0.5132269859313965
-0.0035928781144320965,-0.5042135119438171
0.09388264268636703,-0.48783639073371887
0.1662762314081192,-0.4638499319553375
0.22534354031085968,-0.4365229904651642
0.2764260470867157,-0.3999498188495636
0.3243870139122009,-0.3496941924095154
0.3700949549674988,-0.2822968661785126
0.4109005331993103,-0.20012010633945465
0.43846219778060913,-0.11103396862745285
0.44620099663734436,-0.01102440059185028
0.43907028436660767,0.0884043276309967
0.42266520857810974,0.17846113443374634
0.3952292203903198,0.26689600944519043
0.35194844007492065,0.3507761061191559
0.2892686426639557,0.4276173710823059
0.20529049634933472,0.49080950021743774
0.10028845816850662,0.5282061696052551
-0.019797254353761673,0.550330638885498
-0.156809464097023,0.5623879432678223
-0.28256747126579285,0.5534560680389404
-0.37359559535980225,0.5483198165893555
-0.421921044588089,0.5665972232818604
-0.37809887528419495,0.5596603155136108
-0.33554160594940186,0.4928891956806183
-0.32810455560684204,0.2869633734226227
-0.3296240568161011,-0.07486000657081604
-0.32672110199928284,-0.3664274215698242
-0.3203106224536896,-0.4658736288547516
-0.32935193181037903,-0.4968220293521881
