Halant-Light,D
LindenHill-Italic,D
-0.383206844329834,-0.5055341124534607
-0.002661825390532613,-0.49576300382614136
0.09155644476413727,-0.47831419110298157
0.1620108038187027,-0.45414647459983826
0.2200271189212799,-0.42596563696861267
0.27009907364845276,-0.38783377408981323
0.3169933259487152,-0.3356439471244812
0.36128315329551697,-0.26639634370803833
0.39978212118148804,-0.1832290142774582
0.4240415394306183,-0.09088721871376038
0.42906492948532104,0.011914092116057873
0.4202183485031128,0.10913828015327454
0.401619017124176,0.19764535129070282
0.3708873689174652,0.2840152978897095
0.32341268658638,0.36515486240386963
0.25634247064590454,0.43852585554122925
0.16839048266410828,0.49320852756500244
0.06409938633441925,0.5222548842430115
-0.05376822128891945,0.5401389598846436
-0.18236514925956726,0.5467870235443115
-0.28936585783958435,0.5374295711517334
-0.35996782779693604,0.5401289463043213
-0.3787045478820801,0.5542978048324585
-0.3306947648525238,0.5312138795852661
-0.3058640956878662,0.42957255244255066
-0.3049872815608978,0.16803403198719025
-0.30758580565452576,-0.1879209727048874
-0.30433058738708496,-0.4069102704524994
-0.3019355833530426,-0.4709610044956207
-0.31639447808265686,-0.49683934450149536
