Inconsolata-CondensedExtraBold,G
Yantramanav-Light,G
0.1445101946592331,0.1409270465373993
0.2667008638381958,0.1585294008255005
0.2657070755958557,0.22115233540534973
0.2607201337814331,0.410183310508728
0.2567903399467468,0.5375444889068604
0.23365934193134308,0.5605117082595825
0.1804034560918808,0.5627554655075073
0.09544065594673157,0.5742056369781494
-0.007665830664336681,0.5783230662345886
-0.09953273832798004,0.5531125664710999
-0.16996638476848602,0.4905520975589752
-0.2201104313135147,0.39456307888031006
-0.250910222530365,0.26732581853866577
-0.2644748389720917,0.1142592579126358
-0.26042988896369934,-0.028510352596640587
-0.24185925722122192,-0.13931864500045776
-0.2143135368824005,-0.22217677533626556
-0.1806926727294922,-0.28752413392066956
-0.14123260974884033,-0.3377351760864258
-0.09742332994937897,-0.37166914343833923
-0.04980291798710823,-0.392488956451416
0.005772600881755352,-0.40474262833595276
0.0680219903588295,-0.4077533185482025
0.12685242295265198,-0.3982801139354706
0.17425128817558289,-0.37777087092399597
0.20719076693058014,-0.35007426142692566
0.22712059319019318,-0.31822335720062256
0.2376524806022644,-0.28476765751838684
0.24218206107616425,-0.25251802802085876
0.24328504502773285,-0.22361469268798828
