Inconsolata-CondensedExtraBold,G
Yantramanav-Light,G
0.11877749115228653,0.13219104707241058
0.36584359407424927,0.14474976062774658
0.3701462745666504,0.1889430582523346
0.36703169345855713,0.38388171792030334
0.35820508003234863,0.527153491973877
0.3186792731285095,0.5653306841850281
0.2378838211297989,0.58866286277771
0.12067987024784088,0.615390419960022
-0.021891148760914803,0.623954176902771
-0.15788449347019196,0.5947513580322266
-0.2668556869029999,0.5213072896003723
-0.34056589007377625,0.4063947796821594
-0.38009628653526306,0.260318398475647
-0.3946208953857422,0.08232957124710083
-0.3876032829284668,-0.08924514055252075
-0.3606213629245758,-0.21939398348331451
-0.3182741701602936,-0.31312498450279236
-0.2652798891067505,-0.37924766540527344
-0.20583923161029816,-0.4213228225708008
-0.14416620135307312,-0.44652271270751953
-0.07622244209051132,-0.46202635765075684
0.0032046253327280283,-0.46940380334854126
0.08776755630970001,-0.46406564116477966
0.1678616851568222,-0.4450022280216217
0.23423124849796295,-0.4157697856426239
0.28232258558273315,-0.38062649965286255
0.31233417987823486,-0.3439067602157593
0.32756105065345764,-0.30830368399620056
0.33331242203712463,-0.27516019344329834
0.3348284959793091,-0.24343544244766235
