Inconsolata-CondensedExtraBold,G
Yantramanav-Light,G
0.14753195643424988,0.1437065303325653
0.2266436070203781,0.17114870250225067
0.23184171319007874,0.23698896169662476
0.22559741139411926,0.42214956879615784
0.22223331034183502,0.5408422946929932
0.2020908147096634,0.560529351234436
0.15458551049232483,0.5588462352752686
0.07746123522520065,0.5652526617050171
-0.013940012082457542,0.565093457698822
-0.09207022190093994,0.5391820669174194
-0.15081056952476501,0.4802798628807068
-0.1931508332490921,0.39001917839050293
-0.22019006311893463,0.26859143376350403
-0.2327880859375,0.11882184445858002
-0.22981174290180206,-0.0227982010692358
-0.2141522318124771,-0.1307825744152069
-0.19083599746227264,-0.20883120596408844
-0.16260692477226257,-0.2697433531284332
-0.12909972667694092,-0.31863170862197876
-0.09086325019598007,-0.3537713289260864
-0.04874912276864052,-0.37594467401504517
0.0002705017104744911,-0.3890306353569031
0.056065600365400314,-0.39327290654182434
0.10950729250907898,-0.38555920124053955
0.1526535004377365,-0.36666637659072876
0.18273822963237762,-0.34039175510406494
0.2010916769504547,-0.3100736439228058
0.2109828144311905,-0.27835723757743835
0.21559888124465942,-0.24793697893619537
0.2172470986843109,-0.2209196388721466
