Inconsolata-CondensedExtraBold,G
Yantramanav-Light,G
0.14392288029193878,0.1388835906982422
0.28497448563575745,0.15443232655525208
0.28216350078582764,0.21586091816425323
0.2776111960411072,0.40640389919281006
0.2729929983615875,0.5362119674682617
0.24784620106220245,0.5603407621383667
0.19130375981330872,0.5651689767837524
0.10228163003921509,0.5792714953422546
-0.006269989535212517,0.5849706530570984
-0.10458975285291672,0.5593831539154053
-0.18077930808067322,0.49466168880462646
-0.23468194901943207,0.3956305980682373
-0.2671646475791931,0.26550495624542236
-0.28114819526672363,0.11051810532808304
-0.2766689956188202,-0.03348245099186897
-0.25680220127105713,-0.14590498805046082
-0.2271902859210968,-0.2308361977338791
-0.19088886678218842,-0.29771798849105835
-0.1485447734594345,-0.34785735607147217
-0.10209725797176361,-0.38083359599113464
-0.051770586520433426,-0.4008575677871704
0.0071053761057555676,-0.4125751554965973
0.07257145643234253,-0.4147893190383911
0.13429297506809235,-0.40430527925491333
0.18422077596187592,-0.3829231858253479
0.21905986964702606,-0.35452166199684143
0.2401728481054306,-0.3220529854297638
0.25124868750572205,-0.2880765199661255
0.2558431327342987,-0.2553122341632843
0.2567889094352722,-0.2257496565580368
