Blinker-SemiBold,H
Inconsolata-ExpandedRegular,H
0.3602791428565979,-0.3836277425289154
0.35340026021003723,-0.38612961769104004
0.3499670922756195,-0.2955006957054138
0.3464977741241455,-0.02145826630294323
0.34481173753738403,0.27889227867126465
0.3436582386493683,0.4719635844230652
0.3449980616569519,0.5372973084449768
0.34884509444236755,0.5186935663223267
0.34441041946411133,0.47287729382514954
0.3249775469303131,0.44999703764915466
0.284321665763855,0.44857171177864075
0.2240961492061615,0.4499579668045044
0.1557317078113556,0.4492008090019226
0.08381403982639313,0.45953071117401123
0.0038945048581808805,0.490457683801651
-0.08692280948162079,0.517288863658905
-0.19389453530311584,0.5243228673934937
-0.28339290618896484,0.5172449946403503
-0.3302772343158722,0.5181101560592651
-0.345287024974823,0.5369656085968018
-0.3519928753376007,0.5511099100112915
-0.3577054738998413,0.5118727087974548
-0.3599117696285248,0.3709987699985504
-0.35602065920829773,0.1424689143896103
-0.35510650277137756,-0.09517902135848999
-0.35834822058677673,-0.2639714181423187
-0.3566291034221649,-0.34480077028274536
-0.35311415791511536,-0.37265196442604065
-0.3545842468738556,-0.3830294907093048
-0.3572043180465698,-0.38673630356788635
