Blinker-SemiBold,H
Inconsolata-ExpandedRegular,H
0.3604426085948944,-0.37549400329589844
0.35497695207595825,-0.37744319438934326
0.3517662584781647,-0.28718724846839905
0.3486790060997009,-0.014919846318662167
0.34738820791244507,0.2807692885398865
0.3462069630622864,0.47065991163253784
0.3473813831806183,0.5343737602233887
0.3508738875389099,0.5152379870414734
0.3460378348827362,0.4708668291568756
0.326198011636734,0.44946447014808655
0.2853826582431793,0.4484204351902008
0.22519701719284058,0.449926495552063
0.15696981549263,0.449290007352829
0.08531945198774338,0.45930951833724976
0.005971986800432205,0.4897959530353546
-0.0840780958533287,0.5168336033821106
-0.19040703773498535,0.524385929107666
-0.2801930606365204,0.5175811052322388
-0.32751166820526123,0.5176088213920593
-0.34322279691696167,0.5348799824714661
-0.35052773356437683,0.548172116279602
-0.35660281777381897,0.5094141960144043
-0.35906562209129333,0.36920037865638733
-0.3554115295410156,0.14182911813259125
-0.3546605706214905,-0.09341969341039658
-0.35798680782318115,-0.25943616032600403
-0.356345534324646,-0.33840876817703247
-0.352861613035202,-0.3654099702835083
-0.35428696870803833,-0.37539243698120117
-0.3568953275680542,-0.37887758016586304
