Blinker-SemiBold,H
Inconsolata-ExpandedRegular,H
0.3590817451477051,-0.4171575903892517
0.34774643182754517,-0.42242923378944397
0.3431047797203064,-0.3306485712528229
0.33796194195747375,-0.05082853138446808
0.33462128043174744,0.26822859048843384
0.33354663848876953,0.47544899582862854
0.3351784348487854,0.5486491918563843
0.3405225872993469,0.5340588688850403
0.33775123953819275,0.4829319715499878
0.32021716237068176,0.45287129282951355
0.28039929270744324,0.4491797685623169
0.21993400156497955,0.44996377825737
0.15079966187477112,0.44873955845832825
0.07736895233392715,0.46055087447166443
-0.005423332564532757,0.49332162737846375
-0.10015378892421722,0.5190178155899048
-0.20994022488594055,0.5235826373100281
-0.29750052094459534,0.515366792678833
-0.3420478105545044,0.5206128358840942
-0.35392919182777405,0.5465868711471558
-0.3579333424568176,0.5627509951591492
-0.36203381419181824,0.5186918377876282
-0.3629615902900696,0.37201616168022156
-0.35805225372314453,0.1365680694580078
-0.3567501902580261,-0.11059558391571045
-0.35961538553237915,-0.2883366644382477
-0.357327938079834,-0.3740446865558624
-0.3538481593132019,-0.4041767120361328
-0.3557317852973938,-0.41580188274383545
-0.35828763246536255,-0.4202219545841217
