Mukta-Medium,R
Mada-Regular,R
-0.14523640275001526,-0.4511745572090149
0.091020867228508,-0.44723308086395264
0.22879329323768616,-0.4083962142467499
0.307280957698822,-0.3149374723434448
0.33159634470939636,-0.19018049538135529
0.30675235390663147,-0.04854429513216019
0.21433384716510773,0.06099146232008934
0.07348814606666565,0.10459650307893753
-0.11410944163799286,0.10159096866846085
-0.10378687083721161,0.10267660021781921
0.044200748205184937,0.1015925407409668
0.09447281807661057,0.15563049912452698
0.2146928906440735,0.38615405559539795
0.3341529071331024,0.5695282220840454
0.4527088403701782,0.6306257843971252
0.38274961709976196,0.603277325630188
0.26855337619781494,0.4846460819244385
0.2138005495071411,0.3956938087940216
0.1252727210521698,0.43729156255722046
0.0002289246767759323,0.493743360042572
-0.1178484633564949,0.522113561630249
-0.20256951451301575,0.5173768401145935
-0.2379056215286255,0.5252677202224731
-0.2527390420436859,0.5452988147735596
-0.26313483715057373,0.5143176317214966
-0.26554614305496216,0.3549985885620117
-0.2645919919013977,0.05533824488520622
-0.2682895064353943,-0.255115270614624
-0.26693838834762573,-0.39919447898864746
-0.25232353806495667,-0.44398611783981323
