Mukta-Medium,R
Mada-Regular,R
-0.15107257664203644,-0.4706070125102997
0.1065533310174942,-0.4654248356819153
0.24612388014793396,-0.4262509346008301
0.32713183760643005,-0.33117374777793884
0.3511880040168762,-0.20555876195430756
0.3255341053009033,-0.06503939628601074
0.23201166093349457,0.04397684708237648
0.08939706534147263,0.08839721977710724
-0.1134580597281456,0.08595023304224014
-0.11196301132440567,0.08666764199733734
0.038666799664497375,0.08571316301822662
0.08940813690423965,0.12139733135700226
0.20020774006843567,0.33571135997772217
0.318686842918396,0.5478174686431885
0.4391019940376282,0.6256294250488281
0.41680774092674255,0.6199459433555603
0.2909785807132721,0.5145672559738159
0.2321149706840515,0.4012863039970398
0.15175674855709076,0.4245075583457947
0.02801203541457653,0.48269253969192505
-0.09670029580593109,0.5201425552368164
-0.19217543303966522,0.5198281407356262
-0.23747459053993225,0.5244112610816956
-0.2534666955471039,0.5484042167663574
-0.26485559344291687,0.534311830997467
-0.26818227767944336,0.40420299768447876
-0.2674340009689331,0.12083471566438675
-0.270423948764801,-0.21921849250793457
-0.27084630727767944,-0.40737342834472656
-0.2609679698944092,-0.46288570761680603
