Mukta-Medium,R
Mada-Regular,R
-0.1379762440919876,-0.4311729669570923
0.07855388522148132,-0.42824921011924744
0.21398472785949707,-0.388797789812088
0.28932827711105347,-0.2956565022468567
0.3129855692386627,-0.17068269848823547
0.2873324751853943,-0.026742100715637207
0.19400660693645477,0.08150449395179749
0.052288156002759933,0.12204458564519882
-0.1161859929561615,0.11820749193429947
-0.09014610946178436,0.1198231652379036
0.04980437457561493,0.11912719160318375
0.10418793559074402,0.20012322068214417
0.23427878320217133,0.4390876591205597
0.3572697937488556,0.5886068344116211
0.4584164619445801,0.6337969899177551
0.3380316197872162,0.5789381861686707
0.24612517654895782,0.4489099085330963
0.19210968911647797,0.3986559808254242
0.0932600274682045,0.45295992493629456
-0.030936328694224358,0.5046697854995728
-0.14058303833007812,0.5214725136756897
-0.21215525269508362,0.5150371789932251
-0.2385731041431427,0.5263434648513794
-0.25258949398994446,0.5389343500137329
-0.2614498436450958,0.4841388761997223
-0.2625277638435364,0.29139068722724915
-0.2620534598827362,-0.017750298604369164
-0.2660764157772064,-0.28427186608314514
-0.26180627942085266,-0.3868200182914734
-0.24095669388771057,-0.42373400926589966
