GowunDodum-Regular,S
PoorStory-Regular,S
-0.26201391220092773,-0.702489972114563
0.11494390666484833,-0.7058384418487549
0.22729948163032532,-0.6475988030433655
0.29871615767478943,-0.5469878911972046
0.3348464071750641,-0.4311688542366028
0.32541364431381226,-0.28703773021698
0.2530953586101532,-0.11121255904436111
0.09047134965658188,-0.10419211536645889
-0.1994839906692505,-0.17587466537952423
-0.09842602908611298,-0.1412714421749115
0.08354957401752472,-0.11353723704814911
0.18536601960659027,-0.07813934236764908
0.27581512928009033,0.007656154688447714
0.32907912135124207,0.12412844598293304
0.33145463466644287,0.25620323419570923
0.29345235228538513,0.3706543445587158
0.2267358899116516,0.44394826889038086
0.1404569149017334,0.4772382378578186
0.029321065172553062,0.4879426062107086
-0.10528142750263214,0.482530415058136
-0.21768727898597717,0.45208874344825745
-0.2819596230983734,0.40289318561553955
-0.3057418465614319,0.33445635437965393
-0.3043009042739868,0.22774967551231384
-0.2826007306575775,0.08247386664152145
-0.2666664123535156,-0.11582516133785248
-0.2743813693523407,-0.3395231068134308
-0.28399261832237244,-0.49520382285118103
-0.27368465065956116,-0.570236086845398
-0.24238064885139465,-0.6114827990531921
