GowunDodum-Regular,S
PoorStory-Regular,S
-0.22293949127197266,-0.6733449697494507
0.10121377557516098,-0.6843158602714539
0.22785958647727966,-0.6242777109146118
0.3004622161388397,-0.5178259611129761
0.33414244651794434,-0.39529499411582947
0.3200341463088989,-0.24168628454208374
0.2402336746454239,-0.06756407022476196
0.05708622187376022,-0.09117807447910309
-0.20832055807113647,-0.17399275302886963
-0.08076179772615433,-0.12434938549995422
0.08669009059667587,-0.09094195812940598
0.18304896354675293,-0.05488381162285805
0.27293550968170166,0.0308937169611454
0.3245823383331299,0.14601238071918488
0.32505014538764954,0.2764909565448761
0.2851554751396179,0.38819730281829834
0.21718516945838928,0.4582148790359497
0.1287222057580948,0.49034351110458374
0.013609569519758224,0.5003395676612854
-0.12066946178674698,0.4922671318054199
-0.2262628823518753,0.46030548214912415
-0.28456947207450867,0.41076478362083435
-0.30393728613853455,0.33774253726005554
-0.2978685200214386,0.22665059566497803
-0.27113649249076843,0.08007199317216873
-0.25461864471435547,-0.11884051561355591
-0.263884574174881,-0.33828026056289673
-0.2731592059135437,-0.4855659306049347
-0.2607388496398926,-0.5559977293014526
-0.22777636349201202,-0.5955134630203247
