GowunDodum-Regular,S
PoorStory-Regular,S
-0.1880933940410614,-0.6377619504928589
0.09088680893182755,-0.6578572988510132
0.2278319001197815,-0.5986682772636414
0.30004966259002686,-0.4885151982307434
0.3312673270702362,-0.36108487844467163
0.3142097592353821,-0.20293518900871277
0.23103222250938416,-0.03282206505537033
0.03626304119825363,-0.078504778444767
-0.2070845067501068,-0.16992858052253723
-0.06821813434362411,-0.10843346267938614
0.08715951442718506,-0.06996356695890427
0.1803356558084488,-0.03305267170071602
0.2696320414543152,0.05157090350985527
0.3199886083602905,0.16468344628810883
0.31936317682266235,0.293522447347641
0.27847546339035034,0.4035143256187439
0.20960532128810883,0.4715564548969269
0.11908780783414841,0.5035148859024048
0.0009533592383377254,0.5130879878997803
-0.1314215362071991,0.5033130049705505
-0.23138977587223053,0.47091543674468994
-0.2852616608142853,0.4201373755931854
-0.30149349570274353,0.3434857130050659
-0.2916053235530853,0.23076236248016357
-0.26098713278770447,0.08496909588575363
-0.24364179372787476,-0.11234781891107559
-0.2535053491592407,-0.32767564058303833
-0.26227784156799316,-0.46992236375808716
-0.24805651605129242,-0.5382043719291687
-0.2137017846107483,-0.5770042538642883
