Eczar-Regular,O
LobsterTwo-Italic,O
0.011561266146600246,-0.5204601287841797
0.0580533891916275,-0.5248421430587769
0.12284936755895615,-0.5129818916320801
0.20732857286930084,-0.4899287819862366
0.27746856212615967,-0.45073938369750977
0.33976757526397705,-0.38923704624176025
0.3976686894893646,-0.2969411313533783
0.4427805542945862,-0.1773325502872467
0.4626385569572449,-0.045306045562028885
0.4589197337627411,0.09674368798732758
0.4390026926994324,0.22841712832450867
0.40342241525650024,0.3439871072769165
0.349141001701355,0.44687408208847046
0.2768034338951111,0.5287705063819885
0.1868540495634079,0.5798483490943909
0.07610592246055603,0.6084243059158325
-0.048919036984443665,0.6125572323799133
-0.17246422171592712,0.5783978700637817
-0.28409507870674133,0.5030152201652527
-0.3663543462753296,0.38884487748146057
-0.41484367847442627,0.2407560795545578
-0.4346783757209778,0.08670124411582947
-0.4302841126918793,-0.04688463360071182
-0.40501919388771057,-0.16229726374149323
-0.3614920675754547,-0.26677048206329346
-0.3056417405605316,-0.35488393902778625
-0.24594853818416595,-0.41868069767951965
-0.1898963451385498,-0.4592650532722473
-0.1425897479057312,-0.48341214656829834
-0.10472667962312698,-0.49777474999427795
