Faustina-Italic[wght],L
BalooPaaji2[wght],L
0.29494062066078186,0.5077455639839172
0.2940841317176819,0.4882386028766632
0.2947923541069031,0.46376776695251465
0.2880609333515167,0.5119825601577759
0.26140785217285156,0.5750607252120972
0.21562319993972778,0.5996835231781006
0.15186338126659393,0.6082780361175537
0.08692421764135361,0.610105574131012
0.013357066549360752,0.609664797782898
-0.07231945544481277,0.6075842380523682
-0.1386789083480835,0.594255805015564
-0.1907070428133011,0.5912898778915405
-0.24610692262649536,0.6051241755485535
-0.2741422951221466,0.6178308129310608
-0.21719548106193542,0.6016515493392944
-0.1541810780763626,0.5708633661270142
-0.15079620480537415,0.4707735478878021
-0.13010455667972565,0.2468629777431488
-0.09853827953338623,-0.05937023088335991
-0.07365360110998154,-0.30212461948394775
-0.06519834697246552,-0.3975163698196411
-0.09204500168561935,-0.4291633069515228
-0.1394946277141571,-0.4468894600868225
-0.15930496156215668,-0.45174485445022583
-0.13417275249958038,-0.4452538788318634
-0.08239176124334335,-0.4368845820426941
-0.02418743632733822,-0.437411367893219
0.01884334534406662,-0.4451400339603424
0.0486343652009964,-0.45482930541038513
0.0738711878657341,-0.46406975388526917
