Faustina-Italic[wght],L
BalooPaaji2[wght],L
0.30229514837265015,0.4886016845703125
0.29614779353141785,0.4694278836250305
0.2961084246635437,0.4443846046924591
0.2887350022792816,0.4996992349624634
0.2623439431190491,0.5715094208717346
0.21896842122077942,0.6005945205688477
0.15644365549087524,0.6104544401168823
0.0916488841176033,0.6128839254379272
0.01962103694677353,0.6120389699935913
-0.06663836538791656,0.6101427674293518
-0.13516123592853546,0.5972107648849487
-0.18980401754379272,0.5947577357292175
-0.25028547644615173,0.6098186373710632
-0.28408223390579224,0.62250816822052
-0.22569352388381958,0.6058861017227173
-0.15309898555278778,0.5747628808021545
-0.14864853024482727,0.48708295822143555
-0.12711167335510254,0.2726224958896637
-0.0900912880897522,-0.0415637381374836
-0.05962482467293739,-0.30781877040863037
-0.04833473265171051,-0.41567280888557434
-0.07845950871706009,-0.4497784674167633
-0.1343623846769333,-0.4684049189090729
-0.15920571982860565,-0.4728814661502838
-0.1289031058549881,-0.4647007882595062
-0.06508033722639084,-0.4562176764011383
-0.0031573183368891478,-0.45776262879371643
0.03828250989317894,-0.46587327122688293
0.06756266206502914,-0.4753534197807312
0.09461911767721176,-0.4842321574687958
