Ubuntu-Medium,Y
MysteryQuest-Regular,Y
0.015251295641064644,0.5095568299293518
0.011005493812263012,0.13811908662319183
0.41493919491767883,-0.5242522954940796
0.5123608112335205,-0.585067868232727
0.4228639602661133,-0.5366982817649841
0.3892037272453308,-0.4922596216201782
0.32318374514579773,-0.3694818615913391
0.23888592422008514,-0.21673932671546936
0.15983042120933533,-0.0812331959605217
0.10123445093631744,0.0014885951532050967
0.06574784219264984,0.044440194964408875
0.044069211930036545,0.06626692414283752
0.02618693746626377,0.07733480632305145
0.00813958141952753,0.08091796189546585
-0.011106815189123154,0.07595448195934296
-0.03320728614926338,0.05959582328796387
-0.06052224338054657,0.028668535873293877
-0.09507234394550323,-0.019564323127269745
-0.1382569968700409,-0.08745189011096954
-0.1909078061580658,-0.17662669718265533
-0.2512192130088806,-0.2833397388458252
-0.30821314454078674,-0.3840058445930481
-0.3506467938423157,-0.45253700017929077
-0.3825000524520874,-0.49323901534080505
-0.4105246365070343,-0.5215535163879395
-0.43650275468826294,-0.5449222326278687
-0.4586361348628998,-0.560767412185669
-0.4720359444618225,-0.5677392482757568
-0.4728004038333893,-0.567626953125
-0.4595829248428345,-0.5616359114646912
