Ubuntu-Medium,Y
MysteryQuest-Regular,Y
0.030225113034248352,0.5084336996078491
0.01879010535776615,0.15414650738239288
0.4063289761543274,-0.5299569368362427
0.5102009177207947,-0.5949457883834839
0.4122941195964813,-0.545996904373169
0.3870934545993805,-0.5024307370185852
0.32610487937927246,-0.3816048502922058
0.24610473215579987,-0.22434496879577637
0.16957886517047882,-0.08295434713363647
0.11102571338415146,0.0033893901854753494
0.07376707345247269,0.04835808649659157
0.0502418614923954,0.07143569737672806
0.029939843341708183,0.08334913849830627
0.008569934405386448,0.08760736137628555
-0.014313258230686188,0.0830448791384697
-0.0397125743329525,0.06658080965280533
-0.06963617354631424,0.03486587479710579
-0.10609373450279236,-0.015086709521710873
-0.15080757439136505,-0.0860556811094284
-0.20486018061637878,-0.17990396916866302
-0.2657439112663269,-0.2910410165786743
-0.3212909996509552,-0.39228391647338867
-0.36158913373947144,-0.45970192551612854
-0.391550749540329,-0.4998367130756378
-0.41736477613449097,-0.528289794921875
-0.44064706563949585,-0.5513662099838257
-0.45975542068481445,-0.5660601258277893
-0.4700370728969574,-0.5716872215270996
-0.467062383890152,-0.5700722932815552
-0.4478757381439209,-0.5621044635772705
