PoiretOne-Regular,D
OdibeeSans-Regular,D
-0.24721881747245789,-0.6260313391685486
-0.032460398972034454,-0.6248922348022461
0.04876450076699257,-0.6065748929977417
0.11373602598905563,-0.5738906860351562
0.17120905220508575,-0.531775712966919
0.2232208400964737,-0.4792807698249817
0.26937222480773926,-0.4107707142829895
0.3072809875011444,-0.3173796534538269
0.3336014747619629,-0.19472651183605194
0.345621794462204,-0.06079079210758209
0.33974650502204895,0.06290137767791748
0.32137349247932434,0.16908933222293854
0.2906980514526367,0.2676093280315399
0.24378599226474762,0.3612280488014221
0.18046274781227112,0.44502246379852295
0.10582400113344193,0.5121471285820007
0.02085544914007187,0.555322527885437
-0.07758057862520218,0.5836100578308105
-0.1723911464214325,0.5928182005882263
-0.24072426557540894,0.5866565704345703
-0.274082750082016,0.5821200013160706
-0.2846033275127411,0.5768833160400391
-0.2858465909957886,0.5405265092849731
-0.28312912583351135,0.43589866161346436
-0.28436124324798584,0.2083403617143631
-0.28569191694259644,-0.12169846892356873
-0.28606289625167847,-0.40225398540496826
-0.28196436166763306,-0.5354704856872559
-0.27991074323654175,-0.5856266617774963
-0.2773906886577606,-0.6071138978004456
