DMMono-Regular,F
Bellota-Italic,F
0.2224140167236328,0.03840554133057594
0.1882861703634262,0.03174569457769394
0.1149267852306366,0.03208856284618378
-0.056215476244688034,0.032876111567020416
-0.2111770361661911,0.033950917422771454
-0.2800355553627014,0.03690197318792343
-0.2906150817871094,0.10340172797441483
-0.29107865691185,0.2668885588645935
-0.292807400226593,0.4452219605445862
-0.2935639023780823,0.5428426265716553
-0.29467979073524475,0.5729896426200867
-0.2949029803276062,0.5717468857765198
-0.29459673166275024,0.5549448728561401
-0.29486513137817383,0.5237964391708374
-0.2949189841747284,0.46576938033103943
-0.29377928376197815,0.358068585395813
-0.2925835847854614,0.16900692880153656
-0.29213985800743103,-0.09736859798431396
-0.2888152599334717,-0.3250766396522522
-0.2812633812427521,-0.44688206911087036
-0.26972416043281555,-0.4980379045009613
-0.25189831852912903,-0.5197552442550659
-0.22538086771965027,-0.5307217240333557
-0.18650375306606293,-0.5366951823234558
-0.11868462711572647,-0.5367009043693542
0.010895277373492718,-0.5341026782989502
0.17009177803993225,-0.538135826587677
0.28233739733695984,-0.5377551317214966
0.3364841341972351,-0.53680819272995
0.35693055391311646,-0.5377469062805176
