DMMono-Regular,F
Bellota-Italic,F
0.21753887832164764,0.03213954716920853
0.1863420307636261,0.024838527664542198
0.11898214370012283,0.02572968602180481
-0.050254423171281815,0.02669064700603485
-0.20186476409435272,0.027310505509376526
-0.26865652203559875,0.02953110821545124
-0.27969250082969666,0.09739626199007034
-0.2834543287754059,0.2689499855041504
-0.28972458839416504,0.45560866594314575
-0.29645028710365295,0.5517469644546509
-0.30402427911758423,0.5790294408798218
-0.30206722021102905,0.5761297941207886
-0.29765331745147705,0.558351993560791
-0.2956331968307495,0.527246356010437
-0.2940257489681244,0.46420547366142273
-0.2901615500450134,0.3350442945957184
-0.28444433212280273,0.10758890956640244
-0.27672699093818665,-0.17511597275733948
-0.2655929625034332,-0.37906119227409363
-0.25373101234436035,-0.4720650315284729
-0.23900802433490753,-0.506740391254425
-0.21840012073516846,-0.5212547183036804
-0.18856653571128845,-0.5284429788589478
-0.14219480752944946,-0.531779944896698
-0.05312463641166687,-0.5303199291229248
0.1019425019621849,-0.5304563641548157
0.2542661726474762,-0.5335436463356018
0.3451387584209442,-0.5331212282180786
0.38251179456710815,-0.5352481603622437
0.39590784907341003,-0.5364461541175842
