SofiaSans[wdth,wght],L
BeVietnamPro-ThinItalic,L
0.2822071313858032,0.5921825766563416
0.28184542059898376,0.5890966057777405
0.3016187846660614,0.58965665102005
0.289131224155426,0.5865150690078735
0.2606324553489685,0.5871592164039612
0.21075351536273956,0.586948037147522
0.14849957823753357,0.5881478786468506
0.09003972262144089,0.5859119892120361
0.03129043057560921,0.5859239101409912
-0.045671023428440094,0.591213583946228
-0.12330504506826401,0.5876981019973755
-0.17209875583648682,0.5778486132621765
-0.19569765031337738,0.5721327066421509
-0.20793910324573517,0.5696125030517578
-0.21347244083881378,0.5584090948104858
-0.21341995894908905,0.5292506814002991
-0.2110571563243866,0.4636841118335724
-0.20823819935321808,0.3330531418323517
-0.20502008497714996,0.1368793249130249
-0.2030240297317505,-0.07615461945533752
-0.2010454386472702,-0.23905716836452484
-0.1976483315229416,-0.3322947323322296
-0.19613029062747955,-0.3839327096939087
-0.19577868282794952,-0.4168240427970886
-0.19548986852169037,-0.43577948212623596
-0.1968471109867096,-0.445223331451416
-0.19819799065589905,-0.45014914870262146
-0.1982116848230362,-0.4533791244029999
-0.1966390609741211,-0.45589184761047363
-0.19361571967601776,-0.45784878730773926
