SofiaSans[wdth,wght],L
BeVietnamPro-ThinItalic,L
0.28816816210746765,0.6171358227729797
0.27083948254585266,0.6164284944534302
0.29288363456726074,0.6152982711791992
0.265243798494339,0.6132088303565979
0.21107640862464905,0.6169334650039673
0.14072656631469727,0.6183732748031616
0.06736505776643753,0.6162184476852417
-0.006284530274569988,0.6129751801490784
-0.10647574067115784,0.6184195280075073
-0.21618126332759857,0.6159158945083618
-0.2976633310317993,0.607295572757721
-0.3545489013195038,0.6121253371238708
-0.3853071630001068,0.6231237649917603
-0.3838689923286438,0.6216329336166382
-0.3703932762145996,0.5748525857925415
-0.36209210753440857,0.4639737010002136
-0.3357307016849518,0.30895140767097473
-0.2915833592414856,0.09587021172046661
-0.2427510917186737,-0.16245682537555695
-0.20273716747760773,-0.3902239203453064
-0.17803290486335754,-0.5232632160186768
-0.16718381643295288,-0.581895649433136
-0.16370974481105804,-0.6044160723686218
-0.16483862698078156,-0.6121578216552734
-0.16544677317142487,-0.6144217848777771
-0.16356877982616425,-0.6151776313781738
-0.15984931588172913,-0.6156976222991943
-0.1550111621618271,-0.6161954402923584
-0.14941386878490448,-0.6166180968284607
-0.1431160569190979,-0.616886556148529
