SofiaSans[wdth,wght],L
BeVietnamPro-ThinItalic,L
0.2927747964859009,0.6150206327438354
0.2764568030834198,0.610193133354187
0.2966325581073761,0.609300971031189
0.27182403206825256,0.6077709197998047
0.2245519906282425,0.6105698347091675
0.16050665080547333,0.6112191677093506
0.091016985476017,0.6102559566497803
0.024339070543646812,0.6071469783782959
-0.06021839752793312,0.6115505695343018
-0.16344211995601654,0.6128752827644348
-0.24460873007774353,0.6041207909584045
-0.2980155944824219,0.6018405556678772
-0.329571932554245,0.6105673313140869
-0.33886536955833435,0.612966775894165
-0.33240628242492676,0.5867140293121338
-0.3280499577522278,0.5035396218299866
-0.3141479790210724,0.36986032128334045
-0.283242404460907,0.19150413572788239
-0.24668416380882263,-0.036871422082185745
-0.21472561359405518,-0.26838305592536926
-0.19122165441513062,-0.43091627955436707
-0.177337184548378,-0.5138164162635803
-0.1722560077905655,-0.5547618865966797
-0.16978158056735992,-0.5743840932846069
-0.16933943331241608,-0.5821744203567505
-0.16858141124248505,-0.5848613977432251
-0.16623948514461517,-0.5859905481338501
-0.16257008910179138,-0.5867310762405396
-0.15798215568065643,-0.5873124599456787
-0.1527021825313568,-0.5877258777618408
