SofiaSans[wdth,wght],L
BeVietnamPro-ThinItalic,L
0.29354387521743774,0.6128867268562317
0.2788241505622864,0.6069402694702148
0.2980770468711853,0.6061147451400757
0.2750290334224701,0.6045963168144226
0.2307421863079071,0.6071246266365051
0.169397234916687,0.6074269413948059
0.10156319290399551,0.6068935394287109
0.037323638796806335,0.6038249135017395
-0.04067559540271759,0.6075440645217896
-0.13978318870067596,0.6102793216705322
-0.2210071086883545,0.6020233631134033
-0.2732551693916321,0.5971323847770691
-0.3037594258785248,0.6032991409301758
-0.31591981649398804,0.6062913537025452
-0.31313320994377136,0.5859465599060059
-0.309774786233902,0.5173071622848511
-0.30042803287506104,0.3946693539619446
-0.2752979099750519,0.2286354899406433
-0.24408647418022156,0.014395002275705338
-0.2170936018228531,-0.21294748783111572
-0.19649621844291687,-0.38380274176597595
-0.18261872231960297,-0.4761350452899933
-0.17696362733840942,-0.5237337946891785
-0.17421841621398926,-0.5497375130653381
-0.1726270169019699,-0.561769962310791
-0.17185582220554352,-0.5664082169532776
-0.17004293203353882,-0.568304181098938
-0.16691899299621582,-0.5693708658218384
-0.16278521716594696,-0.570125937461853
-0.1578913778066635,-0.5706528425216675
