SofiaSans[wdth,wght],L
BeVietnamPro-ThinItalic,L
0.2845362722873688,0.6173664331436157
0.2678202688694,0.6198234558105469
0.2903845012187958,0.6182024478912354
0.26179206371307373,0.6154462099075317
0.20344044268131256,0.619786262512207
0.12953318655490875,0.6216404438018799
0.05400152876973152,0.6187602877616882
-0.024308854714035988,0.6154670119285583
-0.13292616605758667,0.6211792230606079
-0.24489209055900574,0.6163433790206909
-0.3270829916000366,0.6085967421531677
-0.38593047857284546,0.6175014972686768
-0.4135284721851349,0.627579927444458
-0.4050716757774353,0.622439980506897
-0.3890517055988312,0.561822772026062
-0.3773500621318817,0.44060570001602173
-0.34361836314201355,0.27365246415138245
-0.2919403612613678,0.040107592940330505
-0.23658928275108337,-0.22969339787960052
-0.1945182979106903,-0.4480094909667969
-0.1715778112411499,-0.5634652972221375
-0.16200539469718933,-0.6075401902198792
-0.16123010218143463,-0.6218807697296143
-0.16375666856765747,-0.6261494159698486
-0.1638018786907196,-0.6272802352905273
-0.16106972098350525,-0.6277546882629395
-0.15665030479431152,-0.628213107585907
-0.15122906863689423,-0.6286782026290894
-0.14505214989185333,-0.629054844379425
-0.13803239166736603,-0.6292451620101929
