BeVietnamPro-SemiBold,V
Tajawal-ExtraLight,V
0.4159984588623047,-0.4902310371398926
0.3914313316345215,-0.46468275785446167
0.37572112679481506,-0.4277500510215759
0.2825841009616852,-0.1681162416934967
0.15391042828559875,0.21347644925117493
0.06394192576408386,0.4700390696525574
0.019185319542884827,0.567466139793396
-0.0005013085319660604,0.5918285250663757
-0.01147646177560091,0.5916666984558105
-0.02278066985309124,0.5774768590927124
-0.03815929591655731,0.5504964590072632
-0.05807531625032425,0.5096310377120972
-0.08181539922952652,0.4527011215686798
-0.1082892194390297,0.3787892460823059
-0.1372728794813156,0.29089370369911194
-0.16926783323287964,0.19471518695354462
-0.20416904985904694,0.09310213476419449
-0.24103862047195435,-0.014723927713930607
-0.2780711054801941,-0.12449359893798828
-0.31188473105430603,-0.22379057109355927
-0.3387756645679474,-0.30320730805397034
-0.359048455953598,-0.3619726896286011
-0.37592196464538574,-0.40424543619155884
-0.39014628529548645,-0.4335654377937317
-0.4008775055408478,-0.451860249042511
-0.40806683897972107,-0.4621031880378723
-0.411462664604187,-0.4670223891735077
-0.4118626117706299,-0.4688173234462738
-0.4106011390686035,-0.46908432245254517
-0.4083963632583618,-0.468767374753952
