BeVietnamPro-SemiBold,V
Tajawal-ExtraLight,V
0.5411690473556519,-0.6276543140411377
0.4656573534011841,-0.5781606435775757
0.43101710081100464,-0.5180280804634094
0.32461151480674744,-0.2200268656015396
0.1988939791917801,0.1733100712299347
0.11828643083572388,0.41247156262397766
0.06688887625932693,0.4997411072254181
0.036143429577350616,0.5218273401260376
0.009420235641300678,0.528005838394165
-0.01994679681956768,0.5260798931121826
-0.05053391307592392,0.5136783123016357
-0.07980809360742569,0.48975351452827454
-0.10595574975013733,0.45373794436454773
-0.12901514768600464,0.4048670530319214
-0.1506544053554535,0.3429654836654663
-0.17289656400680542,0.2696235775947571
-0.1971864104270935,0.187906414270401
-0.22419723868370056,0.10025171935558319
-0.2539163827896118,0.007569868583232164
-0.28574052453041077,-0.08838760852813721
-0.3185915946960449,-0.18267515301704407
-0.35087284445762634,-0.2693292498588562
-0.3797052800655365,-0.34547096490859985
-0.40261372923851013,-0.409529447555542
-0.42032286524772644,-0.4594123065471649
-0.4346139132976532,-0.49732258915901184
-0.44616878032684326,-0.5263948440551758
-0.45465269684791565,-0.5466206073760986
-0.4597759246826172,-0.5584238767623901
-0.461332768201828,-0.564225435256958
