BeVietnamPro-SemiBold,V
Tajawal-ExtraLight,V
0.46479275822639465,-0.5471479296684265
0.4229234755039215,-0.5085427761077881
0.3987664580345154,-0.4649510681629181
0.2997731864452362,-0.19015192985534668
0.1712527722120285,0.19822435081005096
0.08480751514434814,0.4487241804599762
0.037924233824014664,0.5412284731864929
0.012633027508854866,0.5649007558822632
-0.006620513275265694,0.5678328275680542
-0.025467386469244957,0.558139443397522
-0.04624004662036896,0.5360901355743408
-0.06904290616512299,0.5012338161468506
-0.09264543652534485,0.45226171612739563
-0.11644719541072845,0.38808897137641907
-0.14134544134140015,0.3100614547729492
-0.16873911023139954,0.22261574864387512
-0.19919519126415253,0.12974289059638977
-0.23230570554733276,0.03181929886341095
-0.26719793677330017,-0.07078111171722412
-0.3022744655609131,-0.17162950336933136
-0.3344307243824005,-0.261150985956192
-0.36026450991630554,-0.33420348167419434
-0.37996193766593933,-0.39005810022354126
-0.39608025550842285,-0.43140900135040283
-0.40962299704551697,-0.4623686969280243
-0.4198642075061798,-0.4839288592338562
-0.42668387293815613,-0.4969046115875244
-0.4299609959125519,-0.5035228729248047
-0.4302498698234558,-0.506354033946991
-0.4288595914840698,-0.5072596669197083
