BeVietnamPro-SemiBold,V
Tajawal-ExtraLight,V
0.4807291328907013,-0.5649939775466919
0.43249356746673584,-0.5229613184928894
0.405692458152771,-0.47634944319725037
0.3049749732017517,-0.19639715552330017
0.1767871081829071,0.19357387721538544
0.0915757492184639,0.4416756331920624
0.04401032626628876,0.5326592326164246
0.017411401495337486,0.5559736490249634
-0.004073465242981911,0.5597883462905884
-0.025447193533182144,0.5516799688339233
-0.048149533569812775,0.5314473509788513
-0.07199057191610336,0.49873462319374084
-0.09573788195848465,0.45247170329093933
-0.1190078854560852,0.3915769159793854
-0.14291541278362274,0.316932737827301
-0.1690046340227127,0.23237913846969604
-0.19803950190544128,0.1419621855020523
-0.22983022034168243,0.04664378613233566
-0.26369744539260864,-0.053513459861278534
-0.29840514063835144,-0.1537129133939743
-0.3315028250217438,-0.24522235989570618
-0.35939469933509827,-0.32226717472076416
-0.3807898163795471,-0.38314419984817505
-0.3977133631706238,-0.4287068545818329
-0.41191086173057556,-0.4630716145038605
-0.4231500029563904,-0.4884275197982788
-0.43101733922958374,-0.5048626661300659
-0.4354386627674103,-0.5138510465621948
-0.4365410804748535,-0.5180219411849976
-0.4355243146419525,-0.5196195244789124
