BarlowSemiCondensed-Italic,X
jsMath-cmti10,X
0.3561965227127075,0.6067968606948853
0.13013020157814026,0.0010035779559984803
0.5612297654151917,-0.5011842846870422
0.6901796460151672,-0.5300337672233582
0.4566221535205841,-0.5126811861991882
0.5270911455154419,-0.47251683473587036
0.3980408310890198,-0.303078830242157
0.15508003532886505,-0.006075981538742781
-0.12121830880641937,0.3341621458530426
-0.3018941283226013,0.555992066860199
-0.4405101537704468,0.6187503337860107
-0.5272756814956665,0.6279093027114868
-0.4179215729236603,0.5991061925888062
-0.27347037196159363,0.5893285274505615
-0.29764866828918457,0.587971568107605
-0.3200167417526245,0.5512374639511108
-0.16846348345279694,0.3834036588668823
0.008421482518315315,0.16300298273563385
0.12103309482336044,0.030521661043167114
0.13411307334899902,-0.012823370285332203
0.11034781485795975,-0.05496740713715553
0.0760480985045433,-0.14815130829811096
0.034473903477191925,-0.2851101756095886
-0.0004429220862220973,-0.42200344800949097
-0.04196953773498535,-0.49834948778152466
-0.14790670573711395,-0.524939775466919
-0.2407762110233307,-0.5325030088424683
-0.125804141163826,-0.5094217658042908
0.026662960648536682,-0.5065391063690186
0.08223123848438263,-0.535395085811615
