BarlowSemiCondensed-Italic,X
jsMath-cmti10,X
0.29276344180107117,0.5845953226089478
0.06805142015218735,0.013823986053466797
0.4296789765357971,-0.517244815826416
0.5219693183898926,-0.5756436586380005
0.4283904731273651,-0.534234881401062
0.4058017134666443,-0.4884544014930725
0.3338552415370941,-0.3613806366920471
0.1915668547153473,-0.1497044563293457
0.001773117110133171,0.10850071907043457
-0.17223244905471802,0.3570205569267273
-0.27545613050460815,0.5300095081329346
-0.361483633518219,0.6030097007751465
-0.43113675713539124,0.626421332359314
-0.37487563490867615,0.604577898979187
-0.3201186954975128,0.5733503103256226
-0.2588268220424652,0.5037633776664734
-0.15204158425331116,0.3303064703941345
-0.025558484718203545,0.13947723805904388
0.059158630669116974,0.027351567521691322
0.07108687609434128,-0.0122947683557868
0.050168197602033615,-0.04170146584510803
0.017603158950805664,-0.09804131090641022
-0.02329137921333313,-0.18852920830249786
-0.06466935575008392,-0.29978370666503906
-0.094876229763031,-0.39883989095687866
-0.11587092280387878,-0.46027708053588867
-0.1421286165714264,-0.49471741914749146
-0.18407408893108368,-0.5159414410591125
-0.21813395619392395,-0.5274860858917236
-0.19626595079898834,-0.5271405577659607
