BarlowSemiCondensed-Italic,X
jsMath-cmti10,X
0.3136708438396454,0.5944533348083496
0.08618660271167755,0.010874982923269272
0.4679737687110901,-0.5163472890853882
0.5731955766677856,-0.5620708465576172
0.43007323145866394,-0.5310243964195251
0.44681939482688904,-0.4927268326282501
0.36735373735427856,-0.3624390959739685
0.20874103903770447,-0.14003965258598328
-0.0011508683674037457,0.13713571429252625
-0.19406750798225403,0.3967480957508087
-0.29310017824172974,0.5573982000350952
-0.40187352895736694,0.6090752482414246
-0.45879098773002625,0.6214967370033264
-0.3571223318576813,0.589727520942688
-0.30880263447761536,0.5809067487716675
-0.2838381230831146,0.5355560183525085
-0.17189696431159973,0.3712681531906128
-0.030696764588356018,0.16412295401096344
0.07182010263204575,0.03482503071427345
0.0895761102437973,-0.00947903748601675
0.06788046658039093,-0.041105981916189194
0.03462214022874832,-0.10556825250387192
-0.007247081026434898,-0.207560732960701
-0.049211591482162476,-0.3303970396518707
-0.07668139040470123,-0.4296171963214874
-0.10088729113340378,-0.4842320680618286
-0.15539076924324036,-0.5100106000900269
-0.2240229845046997,-0.523493230342865
-0.21396680176258087,-0.5224548578262329
-0.10109761357307434,-0.509894609451294
