BarlowSemiCondensed-Italic,X
jsMath-cmti10,X
0.2622249722480774,0.5657024383544922
0.04859605059027672,0.017296409234404564
0.3859685957431793,-0.5115883946418762
0.4463717043399811,-0.5808943510055542
0.39990106225013733,-0.5373419523239136
0.3637976348400116,-0.48336803913116455
0.2956496477127075,-0.35617920756340027
0.16910219192504883,-0.15423603355884552
0.0001760348677635193,0.08183161169290543
-0.15139633417129517,0.31018802523612976
-0.2527227997779846,0.488859623670578
-0.3229222595691681,0.5827315449714661
-0.3816339671611786,0.6182140111923218
-0.36091914772987366,0.6047011613845825
-0.307045578956604,0.5571459531784058
-0.23708976805210114,0.4678373634815216
-0.13955262303352356,0.2922031581401825
-0.029767241328954697,0.11866465955972672
0.03845089301466942,0.02010652981698513
0.04569791257381439,-0.01820025034248829
0.024258531630039215,-0.04917052015662193
-0.00946016889065504,-0.10404001921415329
-0.05040870979428291,-0.19053345918655396
-0.0899839699268341,-0.2943393588066101
-0.11988700926303864,-0.3855770528316498
-0.1416204571723938,-0.44763800501823425
-0.16147729754447937,-0.4855973720550537
-0.1828526109457016,-0.5126670002937317
-0.20332755148410797,-0.5315921306610107
-0.21072173118591309,-0.5409936904907227
