Rancho-Regular,J
Pridi-SemiBold,J
-0.045762185007333755,-0.4282999336719513
0.34662482142448425,-0.4283815026283264
0.16936300694942474,-0.42326807975769043
0.16920101642608643,-0.25860169529914856
0.1730911135673523,0.07291373610496521
0.17557555437088013,0.38644999265670776
0.1483236849308014,0.5755127668380737
0.10351845622062683,0.6550308465957642
0.049941278994083405,0.6871995329856873
-0.009550383314490318,0.7012144327163696
-0.07890191674232483,0.7031611800193787
-0.1522441953420639,0.6937671899795532
-0.21371003985404968,0.6727985739707947
-0.2581784725189209,0.6446868181228638
-0.2877143323421478,0.6141026020050049
-0.3070582449436188,0.5839415192604065
-0.31996750831604004,0.5557915568351746
-0.3281649053096771,0.530586302280426
-0.3323860466480255,0.5085217356681824
-0.33360546827316284,0.48927974700927734
-0.33286741375923157,0.4723329246044159
-0.3308820128440857,0.45715567469596863
-0.3280889391899109,0.4433809816837311
-0.32479870319366455,0.43082329630851746
-0.32125797867774963,0.41942715644836426
-0.3176703155040741,0.4092015326023102
-0.31420013308525085,0.4001641571521759
-0.3109707236289978,0.3923051059246063
-0.30806276202201843,0.3855725824832916
-0.30551689863204956,0.3798750936985016
