Gelasio-SemiBoldItalic,V
MavenProVFBeta,V
0.6335844993591309,-0.5462346076965332
0.48010265827178955,-0.5157661437988281
0.5064656138420105,-0.4821810722351074
0.39487797021865845,-0.24392294883728027
0.23479105532169342,0.11331749707460403
0.11308323591947556,0.38283780217170715
0.03767051547765732,0.5087333917617798
-0.008402261883020401,0.5504699945449829
-0.04045238718390465,0.5593529939651489
-0.06432394683361053,0.5502176880836487
-0.0848173126578331,0.5263751149177551
-0.104807548224926,0.48927196860313416
-0.12433812767267227,0.43845492601394653
-0.14404869079589844,0.37214016914367676
-0.16580109298229218,0.28906476497650146
-0.1917092651128769,0.1895454078912735
-0.22300656139850616,0.07362130284309387
-0.25888577103614807,-0.05555693805217743
-0.2959686815738678,-0.18441444635391235
-0.32939234375953674,-0.29695481061935425
-0.3573223054409027,-0.38315823674201965
-0.3829044997692108,-0.44263675808906555
-0.4061978757381439,-0.48084449768066406
-0.42458096146583557,-0.5026270151138306
-0.43642711639404297,-0.513346254825592
-0.43950656056404114,-0.516645073890686
-0.43506279587745667,-0.514838695526123
-0.42342472076416016,-0.5074769258499146
-0.3925318717956543,-0.49779483675956726
-0.3490128815174103,-0.4931252598762512
