IMFeFCrm28P,U
Hubballi-Regular,U
0.3450504243373871,-0.2743065357208252
0.36293360590934753,-0.27609360218048096
0.35477879643440247,-0.20643046498298645
0.35913723707199097,0.00932930689305067
0.35847315192222595,0.22511431574821472
0.34359467029571533,0.3716643750667572
0.3080187439918518,0.46831342577934265
0.2564079165458679,0.5319944024085999
0.1950087994337082,0.5705761909484863
0.12161829322576523,0.5975213050842285
0.031425125896930695,0.6136424541473389
-0.07175887376070023,0.6123088598251343
-0.16605977714061737,0.5853937864303589
-0.24277572333812714,0.5370678901672363
-0.2996850311756134,0.47302529215812683
-0.33751484751701355,0.39457133412361145
-0.35766658186912537,0.29197898507118225
-0.3638076186180115,0.15946777164936066
-0.3620089590549469,0.020119834691286087
-0.36053135991096497,-0.10228841006755829
-0.36111098527908325,-0.18962810933589935
-0.3610900342464447,-0.23804950714111328
-0.36067649722099304,-0.2623438239097595
-0.36197343468666077,-0.27515944838523865
-0.36515936255455017,-0.2809062600135803
-0.36820724606513977,-0.28179386258125305
-0.3693602383136749,-0.2800287902355194
-0.36831551790237427,-0.27728646993637085
-0.3654349446296692,-0.2743465304374695
-0.360838383436203,-0.27125096321105957
