IMFeFCrm28P,U
Hubballi-Regular,U
0.31949883699417114,-0.34336820244789124
0.3710389733314514,-0.34461864829063416
0.3494928777217865,-0.2975151240825653
0.3579338788986206,-0.0960574597120285
0.3606327474117279,0.14771394431591034
0.35160934925079346,0.320518434047699
0.32173246145248413,0.4320071041584015
0.272722065448761,0.5055674910545349
0.21198886632919312,0.5498079061508179
0.13814851641654968,0.5797417759895325
0.04456925019621849,0.5996495485305786
-0.06651563197374344,0.6017687320709229
-0.16942088305950165,0.5749900937080383
-0.2513923943042755,0.5224640369415283
-0.3103375732898712,0.45134133100509644
-0.3470439314842224,0.3634782135486603
-0.36458951234817505,0.24423852562904358
-0.36928126215934753,0.0895189642906189
-0.36893805861473083,-0.07039159536361694
-0.3699943721294403,-0.20072859525680542
-0.3710247874259949,-0.27931901812553406
-0.372395783662796,-0.3163515329360962
-0.3786460757255554,-0.3351489007472992
-0.38942188024520874,-0.3457030951976776
-0.39812779426574707,-0.3498120605945587
-0.4004027545452118,-0.3496352434158325
-0.39734718203544617,-0.3474351763725281
-0.3906034827232361,-0.34357866644859314
-0.3781178891658783,-0.33759230375289917
-0.35409805178642273,-0.3327151834964752
