IMFeFCrm28P,U
Hubballi-Regular,U
0.11451301723718643,-0.5826632380485535
0.4316089451313019,-0.5924280881881714
0.3151656687259674,-0.5818972587585449
0.3385949432849884,-0.48595520853996277
0.34980395436286926,-0.2815905213356018
0.35300931334495544,-0.00035658475826494396
0.3544583022594452,0.2091514617204666
0.3405156135559082,0.34795287251472473
0.30327194929122925,0.4350031614303589
0.2457771897315979,0.4863959848880768
0.16724130511283875,0.5195221304893494
0.06338200718164444,0.5424792766571045
-0.06312738358974457,0.5542223453521729
-0.1885005235671997,0.544898509979248
-0.2785392105579376,0.49908533692359924
-0.33551090955734253,0.416720449924469
-0.36540088057518005,0.2852593660354614
-0.3783228397369385,0.07289476692676544
-0.38482171297073364,-0.18999846279621124
-0.3906325399875641,-0.4093868136405945
-0.3995179235935211,-0.5181853175163269
-0.43135422468185425,-0.5627810955047607
-0.48407045006752014,-0.5867051482200623
-0.5198431015014648,-0.5993817448616028
-0.5165389776229858,-0.5992687940597534
-0.4787985384464264,-0.5895336866378784
-0.41895732283592224,-0.5821187496185303
-0.3661333918571472,-0.5825971364974976
-0.3245178759098053,-0.5886116027832031
-0.28767648339271545,-0.5966861844062805
