IMFeFCrm28P,U
Hubballi-Regular,U
0.15723246335983276,-0.5561823844909668
0.42521029710769653,-0.5610380172729492
0.32077738642692566,-0.5509675741195679
0.3426676094532013,-0.4508410692214966
0.3515279293060303,-0.22987620532512665
0.35462039709091187,0.04798005148768425
0.3538024127483368,0.24415238201618195
0.3346020579338074,0.3729538023471832
0.2920006215572357,0.453203022480011
0.23095539212226868,0.5008066892623901
0.1500110924243927,0.5319396257400513
0.04459427297115326,0.5533213019371033
-0.08317173272371292,0.5616528987884521
-0.2024272233247757,0.5427671670913696
-0.2871209979057312,0.4871923327445984
-0.3402324616909027,0.3991434872150421
-0.3669629693031311,0.26633572578430176
-0.37812039256095886,0.05944257602095604
-0.3834180533885956,-0.18796779215335846
-0.388625830411911,-0.39145171642303467
-0.39656370878219604,-0.4934479892253876
-0.42470476031303406,-0.5356975793838501
-0.47214174270629883,-0.5587320327758789
-0.5058004260063171,-0.5715713500976562
-0.5059347748756409,-0.5730506181716919
-0.4792913496494293,-0.5645545721054077
-0.42926421761512756,-0.5553890466690063
-0.376585990190506,-0.553191602230072
-0.33509427309036255,-0.5575529932975769
-0.2996503710746765,-0.5649392008781433
