IMFeFCrm28P,U
Hubballi-Regular,U
0.2964262366294861,-0.3802940547466278
0.3804461359977722,-0.3804492652416229
0.34494203329086304,-0.346159964799881
0.3560011684894562,-0.1632266342639923
0.3602721393108368,0.09361647069454193
0.3550211787223816,0.28477251529693604
0.32988396286964417,0.4071570336818695
0.2836504280567169,0.48807206749916077
0.22406229376792908,0.5367537140846252
0.15129691362380981,0.5686423778533936
0.058161661028862,0.5908569693565369
-0.0558314211666584,0.5965784192085266
-0.16438940167427063,0.5728736519813538
-0.2505047619342804,0.5205048322677612
-0.3118351697921753,0.4474278688430786
-0.34926655888557434,0.3562358319759369
-0.36670321226119995,0.23009569942951202
-0.37165865302085876,0.0635419711470604
-0.37229323387145996,-0.10886494070291519
-0.37417328357696533,-0.24528272449970245
-0.3756812810897827,-0.32154250144958496
-0.3802514970302582,-0.35540786385536194
-0.3932031989097595,-0.37343451380729675
-0.40957242250442505,-0.3839767873287201
-0.41876867413520813,-0.387791246175766
-0.41806548833847046,-0.3870760202407837
-0.4110158085823059,-0.38343819975852966
-0.39735227823257446,-0.37666913866996765
-0.3701612055301666,-0.37059006094932556
-0.33558064699172974,-0.36969882249832153
