IMFeFCrm28P,U
Hubballi-Regular,U
0.21751362085342407,-0.4923785924911499
0.4118972420692444,-0.49086496233940125
0.33005934953689575,-0.4788666367530823
0.3483883738517761,-0.359373539686203
0.354934960603714,-0.10661974549293518
0.35752585530281067,0.1461571902036667
0.34922751784324646,0.31222373247146606
0.3181641697883606,0.421293169260025
0.2665824890136719,0.4884466826915741
0.20024369657039642,0.5288225412368774
0.11466503143310547,0.5566692352294922
0.0042839813977479935,0.5738818645477295
-0.12129227072000504,0.57089763879776
-0.22641916573047638,0.5333893299102783
-0.3008345663547516,0.4649994671344757
-0.3466144800186157,0.37203994393348694
-0.3684118390083313,0.23911921679973602
-0.3766756057739258,0.04537059739232063
-0.3799905776977539,-0.17105244100093842
-0.3839261829853058,-0.34403976798057556
-0.3892558217048645,-0.43234220147132874
-0.4082629084587097,-0.469470351934433
-0.4430641233921051,-0.4902957081794739
-0.4714507460594177,-0.5027102828025818
-0.47662726044654846,-0.5059879422187805
-0.46353232860565186,-0.5013269186019897
-0.4356507956981659,-0.4917788803577423
-0.39058780670166016,-0.48536357283592224
-0.3484041094779968,-0.4857805371284485
-0.31488701701164246,-0.4909864068031311
