IMFeFCrm28P,U
Hubballi-Regular,U
0.19170238077640533,-0.5259309411048889
0.4183388650417328,-0.5268767476081848
0.3256867527961731,-0.5165452361106873
0.3457864820957184,-0.4091118574142456
0.35313519835472107,-0.17127244174480438
0.3562280833721161,0.0968894511461258
0.3521973788738251,0.27840107679367065
0.32719022035598755,0.3973062038421631
0.2797660231590271,0.4709984362125397
0.21587100625038147,0.5149074792861938
0.1327013224363327,0.5442972183227539
0.0251771192997694,0.563833475112915
-0.10256344825029373,0.5673161745071411
-0.2149164378643036,0.5387184619903564
-0.29444167017936707,0.4756610691547394
-0.34384089708328247,0.3843645751476288
-0.3679230511188507,0.2513330280780792
-0.3775683641433716,0.05077259615063667
-0.38182178139686584,-0.18111957609653473
-0.3864094316959381,-0.36926811933517456
-0.39311468601226807,-0.46452561020851135
-0.41684603691101074,-0.5043070316314697
-0.4582296907901764,-0.5263328552246094
-0.4895003139972687,-0.5391060709953308
-0.492449015378952,-0.541710615158081
-0.47364336252212524,-0.5351082682609558
-0.4351324439048767,-0.5252150893211365
-0.38473692536354065,-0.5206248164176941
-0.3429115414619446,-0.5230510830879211
-0.3087037205696106,-0.5294638276100159
