Fahkwang-Regular,U
Brygada1918-Italic[wght],U
0.4122253954410553,-0.5138334631919861
0.6313678622245789,-0.5131118893623352
0.5085351467132568,-0.5067387223243713
0.5000742077827454,-0.35960084199905396
0.46944963932037354,-0.11228708177804947
0.44616955518722534,0.1161150261759758
0.41821324825286865,0.291199266910553
0.3663081228733063,0.42611244320869446
0.29023754596710205,0.5213121175765991
0.19266895949840546,0.5790442228317261
0.07092706859111786,0.6145048141479492
-0.06803702563047409,0.623895525932312
-0.19544310867786407,0.5952433347702026
-0.29549548029899597,0.5323666930198669
-0.3608061969280243,0.4430074393749237
-0.39142119884490967,0.3172670304775238
-0.38783571124076843,0.1461518108844757
-0.3620859682559967,-0.0646076649427414
-0.3389727771282196,-0.2794720530509949
-0.33152973651885986,-0.42058417201042175
-0.3518746495246887,-0.48140838742256165
-0.40814638137817383,-0.5071943998336792
-0.4606453478336334,-0.5192432999610901
-0.4703420102596283,-0.5195192694664001
-0.4421931505203247,-0.5111904740333557
-0.3943271040916443,-0.499214768409729
-0.32632216811180115,-0.4925801157951355
-0.26007214188575745,-0.49533382058143616
-0.20805417001247406,-0.5040428042411804
-0.16556987166404724,-0.5141268372535706
