Fahkwang-Regular,U
Brygada1918-Italic[wght],U
0.48467954993247986,-0.4485023319721222
0.48167896270751953,-0.4800337553024292
0.48370927572250366,-0.4321388602256775
0.485202819108963,-0.2273985594511032
0.48946207761764526,0.03187907114624977
0.48809969425201416,0.21923823654651642
0.4682336747646332,0.3362893760204315
0.42750659584999084,0.4259049892425537
0.3709951639175415,0.4998629093170166
0.3049597144126892,0.551061749458313
0.2312304526567459,0.5860325694084167
0.1488879919052124,0.6092467904090881
0.05509741231799126,0.6201715469360352
-0.061280667781829834,0.6183160543441772
-0.1935655176639557,0.5945824384689331
-0.314236044883728,0.5406143665313721
-0.4060058891773224,0.46412792801856995
-0.46452197432518005,0.3719155490398407
-0.4950571358203888,0.25609225034713745
-0.5071582198143005,0.10680320113897324
-0.5094993114471436,-0.051369115710258484
-0.5103413462638855,-0.19441494345664978
-0.5113255381584167,-0.3035181164741516
-0.5101257562637329,-0.3761266767978668
-0.506088376045227,-0.42294204235076904
-0.502327561378479,-0.4522905647754669
-0.500438392162323,-0.4687718451023102
-0.497656911611557,-0.47664740681648254
-0.4924394488334656,-0.4800293445587158
-0.48582199215888977,-0.4817768335342407
