Fahkwang-Regular,U
Brygada1918-Italic[wght],U
0.4671732783317566,-0.49472400546073914
0.5497467517852783,-0.4967007040977478
0.49601730704307556,-0.4714173674583435
0.4897066056728363,-0.2988884747028351
0.4774164855480194,-0.04402713105082512
0.46813929080963135,0.16666564345359802
0.444972962141037,0.314767450094223
0.3968246281147003,0.42659321427345276
0.32847535610198975,0.5119681358337402
0.24463941156864166,0.5683246850967407
0.14212264120578766,0.6054955720901489
0.01199228223413229,0.6251161098480225
-0.13002115488052368,0.6157639026641846
-0.259383887052536,0.5688923597335815
-0.36069315671920776,0.4913904368877411
-0.42368075251579285,0.390108585357666
-0.45053040981292725,0.2546573281288147
-0.4501313269138336,0.08376830816268921
-0.43842846155166626,-0.10960131883621216
-0.4305725693702698,-0.29110682010650635
-0.42865124344825745,-0.4093680679798126
-0.4407773017883301,-0.4633808732032776
-0.4730517566204071,-0.48941710591316223
-0.4989188015460968,-0.5014252066612244
-0.5001122951507568,-0.5033434629440308
-0.48599445819854736,-0.500885009765625
-0.4681183397769928,-0.4968441128730774
-0.44658660888671875,-0.490132600069046
-0.41097989678382874,-0.4836162030696869
-0.36698606610298157,-0.48246702551841736
