Fahkwang-Regular,U
Brygada1918-Italic[wght],U
0.4537825286388397,-0.5000002384185791
0.5747736096382141,-0.5005531907081604
0.4995962977409363,-0.4807767868041992
0.492168664932251,-0.312845915555954
0.47467511892318726,-0.0566064827144146
0.46204322576522827,0.15962761640548706
0.4368785619735718,0.3149746358394623
0.3859584331512451,0.4330621659755707
0.31343552470207214,0.5197814106941223
0.22279782593250275,0.5756298303604126
0.10888637602329254,0.6117989420890808
-0.031929321587085724,0.6265335083007812
-0.1723765730857849,0.6051512956619263
-0.2929723262786865,0.5463937520980835
-0.37929946184158325,0.45904818177223206
-0.42614468932151794,0.3445241451263428
-0.4385063350200653,0.18871450424194336
-0.42644810676574707,-0.000695168855600059
-0.4112192690372467,-0.2061423361301422
-0.4040508568286896,-0.37002232670783997
-0.41014882922172546,-0.4515511989593506
-0.44435182213783264,-0.48552677035331726
-0.48832467198371887,-0.503007709980011
-0.5054665207862854,-0.5086131691932678
-0.49356043338775635,-0.5059799551963806
-0.47012555599212646,-0.500281572341919
-0.44236716628074646,-0.49198636412620544
-0.3991347849369049,-0.4844474792480469
-0.34662023186683655,-0.48336365818977356
-0.3015443980693817,-0.4883964955806732
