PortLligatSans-Regular,N
Esteban-Regular,N
0.35425519943237305,-0.47107166051864624
0.3602035343647003,0.5683172345161438
0.27188432216644287,0.4517033100128174
-0.24563810229301453,-0.320081889629364
-0.39427968859672546,-0.4607791602611542
-0.35174721479415894,-0.4586104452610016
-0.340677946805954,-0.42141199111938477
-0.34515729546546936,-0.3439793884754181
-0.34734436869621277,-0.1913732886314392
-0.3479529023170471,0.09956645965576172
-0.3447210192680359,0.41439762711524963
-0.3435313105583191,0.5504193305969238
-0.36973512172698975,0.582581102848053
-0.39270421862602234,0.5896821022033691
-0.35947322845458984,0.5793344974517822
-0.3183470070362091,0.577124297618866
-0.3146863579750061,0.5758832097053528
-0.3344266414642334,0.5665440559387207
-0.34235337376594543,0.5586531162261963
-0.34488892555236816,0.5514106750488281
-0.3460181653499603,0.5452860593795776
-0.3464467227458954,0.5412399768829346
-0.3465733230113983,0.5393048524856567
-0.34660792350769043,0.5388467311859131
-0.3466433584690094,0.5391226410865784
-0.3467099666595459,0.5395832061767578
-0.34680891036987305,0.539921760559082
-0.3469308614730835,0.5400135517120361
-0.3470655679702759,0.5398391485214233
-0.34720563888549805,0.5394275784492493
