PortLligatSans-Regular,N
Esteban-Regular,N
0.3846980035305023,-0.550848126411438
0.39965546131134033,0.5667470097541809
0.312071293592453,0.44735437631607056
-0.2833309769630432,-0.439643919467926
-0.4829663336277008,-0.5459530353546143
-0.3931795656681061,-0.5245723724365234
-0.3725557029247284,-0.4803448021411896
-0.3779619038105011,-0.39133143424987793
-0.37963998317718506,-0.19653381407260895
-0.37890806794166565,0.19288621842861176
-0.3760441243648529,0.5144911408424377
-0.382894366979599,0.5916786193847656
-0.4610159397125244,0.6013456583023071
-0.47902756929397583,0.6049073934555054
-0.38667938113212585,0.5894063711166382
-0.2920190989971161,0.5929560661315918
-0.2586525082588196,0.6002853512763977
-0.32109132409095764,0.5899738073348999
-0.3641856908798218,0.5837059020996094
-0.37272799015045166,0.5793182253837585
-0.37571942806243896,0.5741109848022461
-0.37712904810905457,0.5691612958908081
-0.37764081358909607,0.5659177303314209
-0.3778640925884247,0.56477290391922
-0.37805598974227905,0.5650475025177002
-0.3782970905303955,0.5659149289131165
-0.3785918951034546,0.5668038129806519
-0.37892231345176697,0.5674314498901367
-0.3792704939842224,0.567709743976593
-0.37962591648101807,0.5676513314247131
